Messung,Name,N_Cadherin,E_Cadherin
20220120,negative_control,320.7518959,742.2598562
20220120,negative_control,273.6720916,780.4293026
20220120,TGF_beta_10ng,337.0018839,920.9642865
20220120,TGF_beta_10ng,410.645095,966.3475973
20220120,fibroblasts,613.1750231,70.22951417
20220120,fibroblasts,308.3569645,68.72820002
20220126,negative_control,280.1326139,822.1554984
20220126,negative_control,303.0122578,843.6967753
20220126,TGF_beta_10ng,1522.006664,1148.441647
20220126,TGF_beta_10ng,1302.232362,1122.166597
20220126,TGF_beta_130ng,976.2667162,1094.77612
20220126,TGF_beta_130ng,1567.343858,1155.571327
20220126,fibroblasts,517.0201342,95.38501075
20220126,fibroblasts,475.8736544,94.74053298
20220126,TGF_beta_10ng_48h,1657.158069,1373.832142
20220126,TGF_beta_10ng_48h,1331.965686,1375.61392
20220317,TGF_beta_10ng,921.6016893,934.2489213
20220317,TGF_beta_10ng,1155.739803,939.1357492
20220317,TGF_beta_130ng,588.5716696,974.2151466
20220317,TGF_beta_130ng,1353.760612,930.9542558
20220317,fibroblasts,371.0680894,68.22302343
20220317,fibroblasts,429.3241995,74.84527823
20220325,TGF_beta_130ng,367.86599,946.8351633
20220325,TGF_beta_130ng,328.6802016,978.5697424
20220325,TGF_beta_10ng_48h,592.1895681,1074.173104
20220325,TGF_beta_10ng_48h,458.4426627,1037.759216
20220325,negative_control,325.3687719,1011.110293
20220325,negative_control,396.5753999,1056.159187
